entied,countied
the United States,8285
Congress,8163
American,6278
America,4351
Americans,2724
State,2275
States,1998
Constitution,1873
Government,1583
Senate,1572
Treasury,1481
Washington,1156
Europe,1037
Mexico,978
China,841
Navy,777
Army,760
Great Britain,679
Cuba,618
the Soviet Union,613
British,603
Iraq,590
Spain,587
Indian,571
France,520
the Federal Government,516
Indians,506
Texas,497
Vietnam,473
House,472
Russia,467
Afghanistan,458
Soviet,450
Executive,442
the House of Representatives,434
Republican,430
Republicans,427
the United Nations,407
United States,399
Democrats,395
Department,387
Japan,387
Germany,386
The United States,382
Asia,380
the United States of America,367
European,364
the Middle East,363
Chinese,361
Pacific,357
Communist,354
Israel,332
California,327
Africa,323
Territory,323
New York,318
Iran,282
the White House,280
U.S.,277
Kennedy,276
God,274
Democratic,270
Panama,261
Medicare,252
Atlantic,251
Missouri,248
NATO,247
the Supreme Court,245
Mississippi,243
Nation,240
the General Government,235
West,233
French,233
Earth,231
Berlin,226
South,224
Nicaragua,224
Mexican,223
Commission,223
Spanish,217
Canada,215
Administration,215
German,212
Carter,196
Social Security,196
Cabinet,195
Paris,194
Iraqi,191
Ford,190
the District of Columbia,189
Nebraska,189
House of Representatives,184
Louisiana,181
Florida,177
Russian,177
Interior,177
Soviets,177
Communists,175
Cuban,174
Korea,174
Q.,174
Latin America,170
Kansas,167
Ohio,166
South Vietnam,165
Central America,163
Italy,163
Bush,163
Isthmus,160
Philippines,160
Territories,159
Lebanon,159
Poland,159
Japanese,157
World War II,157
Laughter,156
the Postmaster-General,154
Federal,153
London,149
Reagan,149
the National Government,147
Nixon,147
republican,145
Brazil,145
New Mexico,145
Alaska,145
Viet-Nam,145
Congressional,139
Virginia,138
Ukraine,137
Turkey,134
North,133
the War Department,128
Oregon,128
South Carolina,126
New Orleans,125
Governments,124
East,124
Geneva,123
Mondale,123
Speaker,122
England,122
English,121
Pennsylvania,120
Georgia,120
Taliban,118
the Constitution of the United States,116
Venezuela,116
the Department of State,115
Departments,115
Eisenhower,115
Greece,113
Hawaii,112
South Vietnamese,112
Afghan,112
Alabama,111
South Viet-Nam,111
North Vietnam,111
Democrat,110
Illinois,109
the British Government,108
Hanoi,108
African,107
Gorbachev,106
al Qaeda,106
Utah,105
the Treasury Department,104
Chile,103
the Mexican Government,100
Arab,99
Clinton,98
the Congress of the United States,95
the Post-Office Department,95
Southeast Asia,94
India,92
the Democratic Party,92
San Francisco,91
Chicago,91
Trump,91
the Bank of the United States,90
the Republican Party,90
Western Europe,90
Peru,89
Egypt,89
Republics,87
Jefferson,87
Austria,86
Moscow,86
Massachusetts,85
Khrushchev,85
earth,84
South America,84
Negro,84
Colombia,83
U.N.,83
Legislature,82
Philadelphia,81
the Western Hemisphere,81
Pakistan,81
Dole,80
Defense,80
Kuwait,80
War,79
Portugal,79
Stanton,79
Houses of Congress,78
Americas,78
Clay,77
Providence,76
Arkansas,76
Court,76
Houses,75
Britain,75
Philippine,75
Saddam Hussein,75
Iraqis,75
the Department of Justice,74
Truman,74
Lincoln,73
the Panama Canal,73
Watergate,73
Somalia,73
Mediterranean,72
Porto Rico,72
D.C.,72
SMITH,72
Bosnia,72
Arizona,71
Medicaid,71
Tennessee,70
Capitol,70
the Rio Grande,70
Honduras,70
Palestinians,70
Puerto Rico,69
the Department of Agriculture,69
Syria,69
the Spanish Government,68
the Dominican Republic,68
Cambodia,68
Palestinian,68
Biden,68
North Carolina,67
Johnson,67
Gulf,67
Boston,66
Denmark,66
Belgium,66
the Interstate Commerce Commission,66
South Korea,66
’s,66
North Korea,65
Detroit,64
Republic,64
the French Government,64
Canadian,64
Putin,64
Agriculture,63
Maine,63
Michigan,63
the Southern States,63
North Vietnamese,63
Roosevelt,62
Eastern Europe,62
Israelis,62
COVID-19,62
Baltimore,61
Lehrer,61
the State Department,60
Douglas,60
Nazi,60
AUDIENCE,60
Abraham Lincoln,59
Grant,59
Polish,58
Israeli,58
congress,57
West Point,57
Iowa,57
Castro,57
New Jersey,56
Southern,56
the Civil War,56
Hitler,56
KENNEDY,56
Laos,56
Perot,56
Kentucky,55
Havana,55
CARTER,55
APPLAUSE,55
Guatemala,54
Australia,54
Russians,54
White House,54
REAGAN,54
John,53
Manila,53
Sweden,52
Indiana,52
Madrid,52
the United States Government,52
Italian,52
Iranian,52
the Rocky Mountains,51
Hungary,51
Governors,51
Nancy,51
USA,51
Representatives,50
George Washington,50
Christian,50
Monroe,50
Germans,50
the Republic of Panama,50
Yugoslavia,50
Middle East,50
ISIS,50
Colorado,49
FBI,49
NIXON,49
Selma,49
Joe Biden,49
Maryland,48
fidelity,48
the Gulf of Mexico,48
the Chinese Government,48
the United Kingdom,48
Budget,48
Vietnamese,48
Mike,48
Muslim,48
the Federal Constitution,47
Cubans,47
Peking,47
Nazis,47
United Nations,47
The Soviet Union,47
McNamara,47
DOLE,47
the Pacific Ocean,46
Grenada,46
the Declaration of Independence,46
Asian,46
Saudi Arabia,46
El Salvador,46
Rome,45
democratic,45
Costa Rica,45
Honolulu,45
the Far East,45
the Oval Office,45
CLINTON,45
Al Qaeda,45
Revolution,44
St. Louis,44
Vienna,44
West Berlin,44
Steve,44
Kosovo,44
CDC,44
Bolivia,43
New York City,43
Labor,43
Pearl Harbor,43
Indochina,43
Muslims,43
National,42
South American,42
Netherlands,42
The Federal Government,42
Caribbean,42
North Viet-Nam,42
Baghdad,42
the Isthmus of Panama,41
the Navy Department,41
Chamber,41
New Hampshire,41
Thomas Jefferson,41
Formosa,41
Armed Forces,41
Connecticut,40
Eastern,40
Minnesota,40
Chilean,40
the National Guard,40
Filipinos,40
The United Nations,40
Franklin Roosevelt,40
the Cold War,40
Walters,40
NAFTA,40
TRUMP,40
Jackson,39
Hon,39
Liberia,39
the Missouri Compromise,39
TELEGRAM,39
Colon,39
Obama,39
Prussia,38
Paraguay,38
Norway,38
Ecuador,38
the Provisional Government,38
Beirut,38
Jewish,38
North Africa,38
Pentagon,38
BUSH,38
DUKAKIS,38
Justice,37
Western,37
the West Indies,37
the Regular Army,37
Rhode Island,37
Bureau,37
Oklahoma,37
Haiti,37
the Joint Chiefs of Staff,37
John F. Kennedy,37
Ireland,36
the Mexican Republic,36
World War,36
Kremlin,36
Ukrainian,36
NASA,36
Islam,36
Fellow-Citizens of the Senate,35
Parliament,35
Hawaiian,35
the State of Texas,35
Rusk,35
Hay,35
Libya,35
Saddam,35
North American,34
Wisconsin,34
Switzerland,34
the Revised Statutes,34
Jews,34
CIA,34
Westmoreland,34
African American,34
Treaty,33
Supreme Court,33
Board,33
North America,33
Jim,33
the People's Republic of China,33
FDA,33
Cherokees,32
Union,32
the General Land Office,32
Chambers,32
the Persian Gulf,32
Angola,32
George Bush,32
the Independence of the United States,31
the Government of Spain,31
New Zealand,31
Santiago,31
Cairo,31
Marshall,31
Martin Luther King,31
Fauci,31
Potomac,30
the Argentine Republic,30
Colombian,30
Bible,30
Congo,30
Woodrow Wilson,30
Colonies,30
Latin American,30
NEWMAN,30
Brady,30
Osama bin Laden,30
Afghans,30
Assad,30
us,29
King,29
Brussels,29
Taylor,29
I.,29
Allies,29
Ronald Reagan,29
Harry Truman,29
Vietcong,29
the Mississippi River,28
Catholic,28
the American Government,28
The Hague,28
Tokyo,28
Los Angeles,28
Allied,28
the World War,28
Marines,28
OAS,28
Birx,28
Columbia,27
Delaware,27
Empire,27
Executive Departments,27
Mexicans,27
San Juan,27
West Virginia,27
Cleveland,27
Taft,27
Iceland,27
Burma,27
Air Force,27
the Free World,27
Quemoy,27
the Great Depression,27
Hillary,27
Commerce,26
Assembly,26
navy,26
Charleston,26
the Great Lakes,26
Greek,26
The United States of America,26
Madison,26
Presidential,26
the Interior Department,26
Valparaiso,26
McKinley,26
Lodge,26
South Africa,26
Palestine,26
Indonesia,26
Brezhnev,26
SALT,26
Hispanic,26
Mitch,26
Divine Providence,25
Britannic Majesty,25
Christians,25
the National Treasury,25
the Old World,25
Kingdom,25
West India,25
Texan,25
Negroes,25
the Pension Bureau,25
SEC,25
Dominion,25
Italians,25
Churchill,25
the Second World War,25
the Armed Forces,25
the Defense Department,25
Matsu,25
Saigon,25
OPEC,25
MONDALE,25
Northern Ireland,25
Holland,24
Commissioners,24
the Patent Office,24
Indian Affairs,24
the City of Mexico,24
Atlanta,24
Transportation,24
the Department of Commerce,24
Czechoslovakia,24
Irish,24
Winston Churchill,24
Yalta,24
the United Nations Charter,24
the State of the Union,24
Joe,24
Taiwan,24
Richard Nixon,24
the Peace Corps,24
Yemen,24
Lebanese,24
John McCain,24
Imperial,23
Bogota,23
the Chinese Empire,23
the War of 1812,23
the Republic of Mexico,23
Central American,23
Topeka,23
Montana,23
The Department of Agriculture,23
Samoan,23
Bulgaria,23
Kansas City,23
the Federal Reserve Board,23
REYNOLDS,23
Jordan,23
Tony,23
Michelle,23
these United States,22
the National Legislature,22
Brown,22
Lakes,22
Council,22
Africans,22
Bill,22
US,22
Convention,22
the Pacific Coast,22
Nicaraguan,22
Salvador,22
Dingley,22
Theodore Roosevelt,22
Singapore,22
inter-American,22
Goldwater,22
Kissinger,22
Syrian,22
FEMA,22
Nancy Pelosi,22
Barrett,22
Revolutionary,21
the Republic of Colombia,21
the States of the Union,21
the Imperial Government,21
Henry Clay,21
the Republican party,21
the United States Army,21
the Dominion of Canada,21
Samoa,21
the Tariff Commission,21
Wilson,21
The National Government,21
NAVY,21
Canal,21
Tunisia,21
Warsaw,21
the Security Council,21
Jerusalem,21
John Kennedy,21
Arabs,21
Gaza,21
Newtown,21
Xi,21
the State of,20
Lake Erie,20
Morocco,20
Confederation,20
Majesty,20
the State of New York,20
Turkish,20
colonies,20
Federal Government,20
the New World,20
Baker,20
the Government of Chile,20
Omaha,20
the German Government,20
Alaskan,20
the Bering Sea,20
the Republic of Cuba,20
Filipino,20
the Department of Commerce and Labor,20
the Near East,20
the United Nations Security Council,20
Camp David,20
Capitol Hill,20
Cyprus,20
Islamic,20
Border Patrol,20
Google,20
COVID,20
Nations,19
Session,19
Constitutional,19
Academy,19
the Post Office Department,19
Asiatic,19
Andrew Jackson,19
the Marine Corps,19
Ryan,19
Paredes,19
Central and South America,19
The Supreme Court,19
the Department of the Interior,19
Annapolis,19
North and South,19
Teheran,19
Young,19
Shanghai,19
San Domingo,19
Burlingame,19
Ehrman,19
Dominican,19
the Imperial German Government,19
Serbia,19
Ethiopia,19
Thailand,19
Ghana,19
Robert Kennedy,19
Houston,19
the Justice Department,19
Bob Dole,19
SALT II,19
Barbara,19
bin Laden,19
Jill,19
Fellow Citizens,18
Country,18
the Government of the United States,18
the French Republic,18
John Adams,18
Time,18
Sabine,18
Chesapeake,18
Buenos Ayres,18
Rio de Janeiro,18
the Postmaster General,18
Brazilian,18
Commonwealth,18
the Federal Treasury,18
the State of Virginia,18
Vera Cruz,18
Guadalupe Hidalgo,18
Korean,18
Domingo,18
Kellogg,18
Yale,18
MacArthur,18
Lithuania,18
the Air Force,18
Franklin Delano Roosevelt,18
Welfare,18
the World Bank,18
the Organization of American States,18
Alliance,18
Gore,18
Thieu,18
VA,18
AmeriCorps,18
Rwanda,18
Mitch McConnell,18
Citizens,17
Tripoli,17
Northwest,17
Cumberland,17
the German Empire,17
Scott,17
San Diego,17
Harris,17
the Chilean Government,17
The Republican Party,17
PANAMA,17
Marine,17
Normandy,17
Harry S. Truman,17
the General Assembly,17
Stalin,17
the Department of Defense,17
Harvard,17
de Gaulle,17
Bundy,17
the Great Society,17
Asians,17
the Berlin Wall,17
Helsinki,17
MS,17
the West Bank,17
the European Union,17
n’t,17
Al Qaida,17
Abbott,17
Mint,16
the Independence of the United States of America,16
the Department of War,16
Christianity,16
Administrations,16
Belgian,16
Siam,16
Stevenson,16
Europeans,16
Tehuantepec,16
North and South America,16
Marine Corps,16
the Northern States,16
Lecompton,16
New England,16
Nevada,16
Sherman,16
the War of the Rebellion,16
Argentine,16
North Dakota,16
Queen,16
George,16
Pittsburgh,16
the Federal Reserve System,16
the Border Patrol,16
the Reconstruction Finance Corporation,16
Tonight,16
Sicily,16
the National Security Council,16
Red China,16
the cold war,16
Romney,16
Kevin,16
Kabul,16
U.S.A.,16
INF,16
UK,16
Second Amendment,16
Matt,16
Soleimani,16
BRYAN,16
Catholic Majesty,15
Nashville,15
Portuguese,15
Lee,15
the State of Maine,15
the west coast,15
the State of South Carolina,15
Hamilton,15
the Executive Departments,15
the Pension Office,15
the Government of Mexico,15
New Granada,15
Mormons,15
the United States Navy,15
the Indian Territory,15
the Civil Service Commission,15
Ross,15
National Guard,15
Argentina,15
the Red Cross,15
Orient,15
the Gulf Coast,15
Tribunal,15
the United States Supreme Court,15
Balkans,15
cooperatives,15
the Federal Reserve,15
Chief Justice,15
the Republic of Korea,15
U.S.S.R.,15
the Arab States,15
ABC News,15
Mars,15
Peace Corps,15
Soviet-American,15
the Voting Rights Act,15
Head Start,15
Notre Dame,15
Amy,15
African-American,15
African-Americans,15
Native American,15
Hamas,15
Jesse,15
Apple,15
CNN,15
Greenwood,15
fed,14
the Government of Great Britain,14
St. Petersburg,14
Chief Magistrate,14
the Articles of Confederation,14
Delegate,14
Mark,14
the Southwest Branch,14
Caracas,14
El Paso,14
the State of Tennessee,14
the Territory of Kansas,14
Persia,14
The Postmaster-General,14
Fort Sumter,14
the Indian Bureau,14
Gettysburg,14
Idaho,14
Revised Statutes,14
Civil War,14
Concord,14
Egan,14
the Suez Canal,14
Guam,14
Manchuria,14
Huerta,14
the League of Nations,14
Chiang Kai-shek,14
Poles,14
Bryan,14
the Soviet Government,14
GI,14
Dwight Eisenhower,14
South Asia,14
the Alliance for Progress,14
Peter,14
the U.N. Security Council,14
Mideast,14
PLO,14
Wieghart,14
Cheney,14
Sonia,14
al Qaeda’s,14
Natoma,14
ISIL,14
the World Trade Organization,14
MS-13,14
Donald Trump,14
ICE,14
Hitherto,13
Creeks,13
James,13
Sovereign,13
Lawrence,13
the Government of France,13
Buenos Aires,13
Naples,13
Buffalo,13
the Lake of the Woods,13
Caroline,13
Pinckney,13
ANDREW JOHNSON,13
Central,13
the Caribbean Sea,13
Uruguay,13
the Colombian Government,13
Kongo,13
the Hawaiian Islands,13
Malmros,13
Hemisphere,13
Dwight D. Eisenhower,13
Committee,13
the League of Women Voters,13
Pat,13
the Truman Administration,13
Fulbright,13
East Germany,13
the Common Market,13
Wallace,13
Hollywood,13
Air Force One,13
START,13
Main Street,13
Sawyer,13
Qadhafi,13
the Joint Chiefs,13
Saddam Hussein's,13
John Boehner,13
the Post-Office,12
UnitedStates,12
Powers,12
Franklin,12
senate,12
Norfolk,12
the Military Academy,12
the Treaty of Ghent,12
Pensacola,12
Canton,12
Columbus,12
Austrian,12
Canadians,12
the Republic of Texas,12
Islands,12
Christendom,12
the American Republics,12
Lima,12
Regular Army,12
the Pacific coast,12
Lexington,12
the Wilmot Proviso,12
Webster,12
"A Proclamation
Whereas",12
the Netherlands,12
Venezuelan,12
section 3,12
Yorktown,12
LOOMIS,12
the Bureau of Corporations,12
Finland,12
the Canal Zone,12
Payne,12
Rumania,12
the Coast Guard,12
the American Nation,12
the Farm Board,12
the Democratic House of Representatives,12
the Export-Import Bank,12
General de Gaulle,12
NATO Allies,12
SEATO,12
the Atlantic Alliance,12
A-11,12
Kosygin,12
the Korean Peninsula,12
Sinai,12
SS-20,12
Kraft,12
Moon,12
Tucson,12
Washington State,12
Noriega,12
Audience,12
David,12
Gabby,12
Alan,12
Laughs,12
DR,12
Alexandria,11
Fellow-Citizens,11
Cherokee,11
the United   States,11
Algiers,11
Tunis,11
republics,11
Barbary,11
Spaniards,11
the Secretaries of War,11
Sultan,11
Porte,11
Territorial,11
Granada,11
the British Provinces,11
the American Union,11
Halls Stream,11
Collins,11
the Oregon Territory,11
the Del Norte,11
Dutch,11
the Naval Academy,11
Amazon,11
Ann,11
Ulysses S. Grant,11
the Italian Government,11
NAVY DEPARTMENT,11
Egyptian,11
Jamestown,11
Seattle,11
Bering Sea,11
Latin-American,11
Minneapolis,11
un-American,11
the Philippine Islands,11
Loomis,11
The Republic of Panama,11
the Great War,11
the Holy Land,11
the Reconstruction Corporation,11
Tehran,11
Franklin D. Roosevelt,11
the International Monetary Fund,11
Mitchell,11
Joshua,11
the United Nations General Assembly,11
Polaris,11
Marxist,11
the Voice of America,11
Klan,11
University,11
Goldberg,11
Miami,11
Robert Frost,11
Thomas,11
the Civil Rights Act,11
North Korean,11
Trewhitt,11
KRAFT,11
Libyan,11
Boeing,11
Barnes,11
Olympics,11
Armageddon,11
"Washington, DC",11
Dukakis,11
Latino,11
McCain,11
African Americans,11
Tom,11
HHS,11
It&#39;s,11
Obamacare,11
Maduro,11
Doug,11
Roche,11
Wuhan,11
Jon,11
Universe,10
Niagara,10
Law,10
the Atlantic States,10
The House of Representatives,10
The British Government,10
Church,10
concord,10
Imperial Majesty,10
the French Revolution,10
Portland,10
The Constitution of the United States,10
Newfoundland,10
Southwest,10
the Western States,10
Santa Fe,10
Georgetown,10
Smith,10
Cincinnati,10
Liverpool,10
the Federal Union,10
the States and Territories,10
Vermont,10
the supreme court,10
Graham,10
the Northwest Branch,10
Richmond,10
the Atlantic Ocean,10
the Hudsons Bay Company,10
Californias,10
Amistad,10
Polk,10
Valley,10
Key West,10
the Northwestern Territory,10
Hungarian,10
Missouri Compromise,10
the moon,10
Jamaica,10
Powell,10
Stevens,10
the Judiciary Committee,10
Confederate,10
WAR DEPARTMENT,10
Adjutant,10
the General of the Army,10
San Antonio,10
the South Pacific,10
St. Paul,10
the Bureau of Education,10
the Court of Claims,10
the Smithsonian Institution,10
Wyoming,10
the Indian Ocean,10
section 6,10
Apia,10
the Governments of the United States,10
British Columbia,10
Oklahoma City,10
the Democratic party,10
the Agricultural Department,10
Armenia,10
Guantanamo Bay,10
the Department of Labor,10
the Secret Service,10
the Emancipation Proclamation,10
Tampico,10
Herbert Hoover,10
the Tennessee Valley,10
the Democratic National Committee,10
Hoover,10
Party,10
Malaya,10
Mussolini,10
the Rules Committee,10
the Korean War,10
International Communism,10
Free World,10
Humphrey,10
Vanocur,10
Dean,10
non-Communist,10
the World Health Organization,10
John Fitzgerald Kennedy,10
the Republican Convention,10
Eugene Black,10
Bunker,10
U.S.-Soviet,10
the Vietnam war,10
World War I,10
Sam Rayburn,10
Security Council,10
John Dean,10
Shultz,10
Haldeman,10
Independents,10
DREW,10
Solidarity,10
Sandinistas,10
Beijing,10
Soviet Union,10
Desert Storm,10
Somalis,10
Milosevic,10
Scout,10
Sunni,10
Boy Scouts,10
Mike Pence,10
Navigation,9
Tribes,9
St. Croix,9
THE UNITED STATES,9
Savannah,9
Java,9
Lewis,9
Britannic Majesty's,9
Province,9
Lisbon,9
the Black Sea,9
Greeks,9
the Columbia River,9
the Ohio River,9
Houses of the Congress,9
Bank of the United States,9
the Eastern States,9
Department of the Government,9
the Ottoman Empire,9
John Quincy Adams,9
the War of the Revolution,9
the Detroit River,9
European Governments,9
the Hawaiian Government,9
the Union of the States,9
Prussian,9
the War and Navy Departments,9
Napoleon,9
American Republics,9
the Republic of Nicaragua,9
Independence,9
the Panama Railroad Company,9
the Pacific Railroad,9
Johnston,9
Peck,9
Anderson,9
the United States of Colombia,9
Engineers,9
the Pacific States,9
the Freedmen's Bureau,9
Brownsville,9
HAMILTON,9
section 4,9
Berne,9
Hebrew,9
the Government of Italy,9
Acapulco,9
a United States,9
Itata,9
Schley,9
Jr.,9
Guantanamo,9
the Dominion Government,9
JOHN HAY,9
the Customs Tariff of the Republic of Cuba,9
Cartagena,9
Clark,9
The Nation,9
Reynolds,9
Bishop,9
Ottawa,9
The Red Cross,9
Albania,9
the Federal Reserve Act,9
the Shipping Board,9
the Bill of Rights,9
Serbs,9
Veterans,9
the Senate Foreign Relations Committee,9
Des Moines,9
the Recovery Act,9
Nazism,9
General Eisenhower,9
Harriman,9
Crimea,9
Iwo Jima,9
the Veterans Administration,9
Mayor,9
West Germany,9
the Defense Production Act,9
the Boy Scouts,9
Dulles,9
"Health, Education",9
Lyndon Johnson,9
Scranton,9
Macmillan,9
Nigeria,9
Buy American,9
the Commerce Department,9
Paul,9
the Rose Garden,9
Johns Hopkins,9
Midwest,9
Education,9
Romania,9
the Democratic Republic of Vietnam,9
Abrams,9
Jimmy Carter,9
Middle Eastern,9
the Burger Court,9
Hispanics,9
ABM,9
the Congressional Budget Office,9
Grace,9
KONDRACKE,9
Health and Human Services,9
Bahrain,9
Colin Powell,9
GATT,9
Pakistani,9
Serbian,9
Sasha,9
Ben,9
Sotomayor,9
Kim,9
Asian American,9
Mnuchin,9
World War Two,9
Sonny,9
Deborah,9
BIRX,9
N95,9
Tulsa,9
Zelenskyy,9
the Post Office,8
andWhereas,8
premises,8
the Supreme Ruler,8
Montgomery,8
Floridas,8
Warren,8
Alexander,8
the States of Georgia,8
the American Navy,8
the Territories of the United States,8
Louisville,8
the Ordnance Department,8
Bermuda,8
the Sublime Porte,8
the American Revolution,8
Supreme,8
the United States Bank,8
the Mexican Congress,8
Farewell Address,8
Bolivar,8
Anthony,8
the organic law,8
St. John,8
the Republic of New Granada,8
Adams,8
Santa Anna,8
Catholics,8
the State of Nicaragua,8
the Mexican War,8
the Turkish Government,8
West Indian,8
Pacific States,8
Independence Hall,8
Springfield,8
the Empire of Japan,8
Baltic,8
the organic act,8
the State of Panama,8
Clayton,8
Walker,8
the Territory of Utah,8
Washington Territory,8
San Jose,8
Brooklyn,8
The District of Columbia,8
Va.,8
Article II,8
the Revolutionary War,8
Australian,8
Indian Territory,8
the Japanese Government,8
Mount Vernon,8
the Railway Mail Service,8
The United States Government,8
Sec,8
Sydney,8
the Geological Survey,8
The War Department,8
Chinaman,8
Newark,8
Trenton,8
South Dakota,8
the Independent State,8
Vancouver,8
Czar,8
Riggin,8
Blaine,8
Diaz,8
Negros,8
the National Capital,8
Buenaventura,8
the Reclamation Service,8
Benson,8
the Forest Service,8
the Nation,8
the Middle West,8
Muscle Shoals,8
Coolidge,8
Bank,8
Social Security Act,8
the Executive Branch,8
Hitlerism,8
North Atlantic,8
Tom Paine,8
Fascist,8
Coast Guard,8
the General Assembly of the United Nations,8
the United Nations Relief and Rehabilitation Administration,8
Julie,8
communist,8
The Middle East,8
Hubert Humphrey,8
Richard,8
NBC News,8
Rockefeller,8
U-2,8
SHADEL,8
Pescadores,8
the Marshall Plan,8
UN,8
Olympic,8
East-West,8
Malaysia,8
Appalachia,8
Hilsman,8
Panamanian,8
the Panama Canal Zone,8
Lop Nor,8
the East Room,8
Vance,8
the West Coast,8
the Republic of Vietnam,8
NLF,8
Gerald Ford,8
the Special Prosecutor,8
Frankel,8
FRANKEL,8
Rabin,8
Rhodesia,8
Maynard,8
B-1,8
Warnke,8
Persian Gulf,8
Teddy Roosevelt,8
MX,8
Omaha Beach,8
General Motors,8
EPA,8
KALB,8
Holocaust,8
Jim Baker,8
Reykjavik,8
John Mashek,8
Saudi,8
Kuwaiti,8
Byelorussia,8
the Iraq war,8
Somali,8
Belfast,8
Kassebaum,8
George W. Bush,8
U-S-A,8
Boehner,8
Shi'a,8
the Department of Homeland Security,8
Homeland Security,8
Malia,8
Chuck,8
the Affordable Care Act,8
Asian Americans,8
Walmart,8
Pence,8
Kevin McCarthy,8
Tim,8
Hispanic American,8
al-Baghdadi,8
Jim Jordan,8
Chris,8
Josh,8
USMCA,8
Cuomo,8
LabCorp,8
Vladimir Putin,8
Society,7
Liberty,7
Fellow,7
Resolution,7
Passamaquoddy Bay,7
St. Domingo,7
SENATE,7
Wabash,7
HOUSE,7
Mobile,7
JAMES MADISON,7
CONGRESS,7
Rodgers,7
Upper,7
Porter,7
new States,7
Seminoles,7
Apollo,7
Hamburg,7
the Corps of Engineers,7
the State of Illinois,7
the British Parliament,7
Southern States,7
New Brunswick,7
Federal Union,7
the French Chambers,7
Belgians,7
the Constitution,7
Ottoman,7
Sioux,7
District,7
Thompson,7
Harrison,7
Suffice,7
the States of Maine,7
Rouses Point,7
St. Regis,7
San Jacinto,7
Balize,7
The Mexican Government,7
Slidell,7
Van Buren,7
Galveston,7
the South American States,7
the Republic of Venezuela,7
the State of California,7
the States of Central America,7
Sioux Indians,7
the Government of Nicaragua,7
St. Lawrence,7
Greytown,7
Departments of the Government,7
Bulwer,7
the Republic of Honduras,7
Nelson,7
The Post-Office Department,7
Victoria,7
Miramon,7
Abraham Baldwin,7
the South American Republics,7
Vanderbilt,7
the Potomac River,7
Dakota,7
the City of Washington,7
Federal and State,7
Hong Kong,7
North Germany,7
the Department,7
the Commissioners of the District of Columbia,7
the Government of China,7
Roumania,7
Pacific Railway,7
Austria-Hungary,7
Miles,7
Puritan,7
section 1754,7
Rule III,7
section 2,7
Barrundia,7
Montt,7
Morgan,7
the Choctaws and Chickasaws,7
Evans,7
Mora,7
Englishmen,7
Red Cross,7
Reyes,7
Brig,7
Jolo,7
Arlington,7
Exposition,7
isthmian,7
Acknowledge,7
Beaupre&#39,7
the New Panama Canal Company,7
Porto Rican,7
Root,7
the South Atlantic,7
Balkan,7
the Lincoln Memorial,7
Tariff Commission,7
the Continental Congress,7
Latvia,7
Estonia,7
the Federal Farm Board,7
Central Europe,7
The Democratic Party,7
Benjamin Franklin,7
Munich,7
Greenland,7
Wassell,7
Marshal Stalin,7
the United Nations Organization,7
REA,7
the North Atlantic Treaty,7
Rayburn,7
the Korean war,7
the Soviet Union's,7
the Interstate Highway System,7
Western European,7
FHA,7
the International Atomic Energy Agency,7
Atlas,7
the National Science Foundation,7
the Atomic Energy Commission,7
Dirksen,7
Adenauer,7
the Eisenhower Administration,7
McGee,7
Minuteman,7
Drummond,7
Al Smith,7
Eastern European,7
the Atlantic Community,7
Webb,7
Birmingham,7
Panamanians,7
Barry Goldwater,7
McCormack,7
Lenin,7
President,7
the South Vietnamese Government,7
the Government of South Vietnam,7
Ho Chi Minh,7
Bob,7
the New York Times,7
Glassboro,7
United Nations Security Council,7
Ehrlichman,7
the Warsaw Pact,7
Vladivostok,7
the European Community,7
Mayaguez,7
