year,entity,entity2,county
1789,Fellow Citizens: 1,Fellow Citizens, 1
1789,Senate: 1,Senate, 1
1789,the House of Representatives: 2,the House of Representatives, 2
1789,Country: 2,Country, 2
1789,Act: 1,Act, 1
1789,Universe: 1,Universe, 1
1789,the Councils of Nations: 1,the Councils of Nations, 1
1789,the United States: 3,the United States, 3
1789,the Great Author of every: 1,the Great Author of every, 1
1789,their United Government: 1,their United Government, 1
1789,Governments: 1,Governments, 1
1789,the Executive Department: 2,the Executive Department, 2
1789,the Great Constitutional Charter: 1,the Great Constitutional Charter, 1
1789,National: 1,National, 1
1789,Citizens: 1,Citizens, 1
1789,Republican: 1,Republican, 1
1789,American: 2,American, 2
1789,Constitution: 1,Constitution, 1
1789,System: 1,System, 1
1789,United: 1,United, 1
1789,Houses of Congress: 1,Houses of Congress, 1
1789,Ruler of Nations: 1,Ruler of Nations, 1
1789,Sovereigns: 1,Sovereigns, 1
1789,Nations: 1,Nations, 1
1789,Us: 1,Us, 1
1789,Mankind: 1,Mankind, 1
1790,Fellow Citizens: 1,Fellow Citizens, 1
1790,Senate: 3,Senate, 3
1790,House of Representatives: 3,House of Representatives, 3
1790,North Carolina: 1,North Carolina, 1
1790,the Constitution    : 1,the Constitution    , 1
1790,the United States: 22,the United States, 22
1790,Country: 3,Country, 3
1790,the Government of the Union: 1,the Government of the Union, 1
1790,a Gracious Providence: 1,a Gracious Providence, 1
1790,War: 1,War, 1
1790,Troops: 1,Troops, 1
1790,Officers: 1,Officers, 1
1790,Indians: 7,Indians, 7
1790,Southern    : 1,Southern    , 1
1790,the Commonwealth of Virginia: 1,the Commonwealth of Virginia, 1
1790,Citizens: 4,Citizens, 4
1790,Weights: 1,Weights, 1
1790,"Agriculture, Commerce: 1","Agriculture, Commerce", 1
1790,the Post-Office and: 1,the Post-Office and, 1
1790,Post-Roads: 1,Post-Roads, 1
1790,Science    and Literature: 1,Science    and Literature, 1
1790,Community: 1,Community, 1
1790,Constitution: 1,Constitution, 1
1790,Society: 1,Society, 1
1790,Liberty: 1,Liberty, 1
1790,the Laws: 1,the Laws, 1
1790,Legislature: 1,Legislature, 1
1790,Fellow: 1,Fellow, 1
1790,American Stock: 1,American Stock, 1
1790,Session: 2,Session, 2
1790,Holland: 1,Holland, 1
1790,Europe: 2,Europe, 2
1790,Treasury: 1,Treasury, 1
1790,the District of Kentucky: 1,the District of Kentucky, 1
1790,Virginia: 1,Virginia, 1
1790,State: 1,State, 1
1790,Congress: 3,Congress, 3
1790,Kentucky: 1,Kentucky, 1
1790,Ohio: 2,Ohio, 2
1790,Militia: 2,Militia, 2
1790,Commerce: 1,Commerce, 1
1790,Navigation: 1,Navigation, 1
1790,Mediterranean: 1,Mediterranean, 1
1790,Justice: 1,Justice, 1
1790,Seamen: 1,Seamen, 1
1790,Consuls: 2,Consuls, 2
1790,Jurisdiction: 1,Jurisdiction, 1
1790,The Consular Convention: 1,The Consular Convention, 1
1790,Christian Majesty: 1,Christian Majesty, 1
1790,Standards: 1,Standards, 1
1790,the Post Office: 1,the Post Office, 1
1790,the House of Representatives: 1,the House of Representatives, 1
1790,Revenues: 1,Revenues, 1
1790,Western Lands: 1,Western Lands, 1
1790,Speech: 2,Speech, 2
1790,the Seneka Nation: 1,the Seneka Nation, 1
1790,Cornplanter: 3,Cornplanter, 3
1790,Seneca Chiefs: 1,Seneca Chiefs, 1
1790,Philadelphia: 2,Philadelphia, 2
1790,States: 1,States, 1
1790,Indian: 2,Indian, 2
